# Trajectories Requiring Chassis Movement
# Total: 519


## scene_2 (3 trajectories)
orbit_right_095 (X: 2.690m, Score: 2.862m)
dolly_push_in_055 (X: 2.859m, Score: 2.860m)
dolly_push_in_078 (X: 2.855m, Score: 2.857m)
orbit_right_024 (X: 2.825m, Score: 2.844m)
tracking_zigzag_091 (X: 2.833m, Score: 2.842m)
arc_left_push_018 (X: 2.666m, Score: 2.841m)
dolly_push_in_000 (X: 2.840m, Score: 2.841m)
tracking_zigzag_047 (X: 2.825m, Score: 2.840m)
arc_left_push_008 (X: 2.800m, Score: 2.839m)
dolly_push_in_041 (X: 2.837m, Score: 2.837m)
dolly_push_in_069 (X: 2.830m, Score: 2.834m)
orbit_left_031 (X: 2.782m, Score: 2.833m)
dolly_push_in_015 (X: 2.812m, Score: 2.829m)
arc_left_push_024 (X: 2.692m, Score: 2.823m)
arc_left_push_067 (X: 2.687m, Score: 2.821m)
dolly_push_in_031 (X: 2.819m, Score: 2.819m)
dolly_push_in_098 (X: 2.815m, Score: 2.818m)
arc_left_push_047 (X: 2.642m, Score: 2.814m)
orbit_left_085 (X: 2.773m, Score: 2.814m)
tracking_zigzag_069 (X: 2.785m, Score: 2.804m)
orbit_left_021 (X: 2.743m, Score: 2.803m)
tracking_zigzag_007 (X: 2.787m, Score: 2.802m)
tracking_zigzag_033 (X: 2.800m, Score: 2.801m)
orbit_right_006 (X: 2.616m, Score: 2.801m)
dolly_push_in_024 (X: 2.790m, Score: 2.798m)
tracking_zigzag_056 (X: 2.796m, Score: 2.798m)
tracking_zigzag_006 (X: 2.798m, Score: 2.798m)
orbit_left_037 (X: 2.641m, Score: 2.795m)
tracking_zigzag_057 (X: 2.739m, Score: 2.795m)
orbit_right_044 (X: 2.734m, Score: 2.795m)
orbit_right_077 (X: 2.743m, Score: 2.793m)
orbit_left_032 (X: 2.685m, Score: 2.783m)
arc_left_push_016 (X: 2.597m, Score: 2.783m)
tracking_zigzag_095 (X: 2.760m, Score: 2.782m)
dolly_push_in_030 (X: 2.773m, Score: 2.781m)
tracking_zigzag_074 (X: 2.732m, Score: 2.776m)
orbit_left_097 (X: 2.663m, Score: 2.770m)
tracking_zigzag_049 (X: 2.659m, Score: 2.769m)
orbit_right_012 (X: 2.711m, Score: 2.762m)
orbit_right_013 (X: 2.689m, Score: 2.754m)
tracking_zigzag_013 (X: 2.750m, Score: 2.751m)
orbit_right_085 (X: 2.688m, Score: 2.751m)
tracking_zigzag_051 (X: 2.724m, Score: 2.747m)
dolly_push_in_060 (X: 2.740m, Score: 2.745m)
dolly_push_in_057 (X: 2.739m, Score: 2.739m)
dolly_push_in_034 (X: 2.732m, Score: 2.739m)
orbit_right_056 (X: 2.556m, Score: 2.734m)
orbit_right_050 (X: 2.573m, Score: 2.731m)
dolly_push_in_051 (X: 2.726m, Score: 2.727m)
orbit_right_079 (X: 2.616m, Score: 2.721m)
orbit_right_000 (X: 2.657m, Score: 2.715m)
orbit_right_066 (X: 2.536m, Score: 2.711m)
orbit_right_025 (X: 2.593m, Score: 2.709m)
tracking_zigzag_001 (X: 2.706m, Score: 2.708m)
orbit_left_081 (X: 2.681m, Score: 2.704m)
dolly_push_in_014 (X: 2.702m, Score: 2.704m)
arc_left_push_076 (X: 2.645m, Score: 2.701m)
arc_left_push_028 (X: 2.653m, Score: 2.697m)
orbit_right_033 (X: 2.644m, Score: 2.695m)
arc_left_push_049 (X: 2.501m, Score: 2.693m)
orbit_left_028 (X: 2.584m, Score: 2.691m)
dolly_push_in_063 (X: 2.686m, Score: 2.686m)
orbit_right_046 (X: 2.598m, Score: 2.685m)
tracking_zigzag_021 (X: 2.670m, Score: 2.683m)
dolly_push_in_048 (X: 2.671m, Score: 2.676m)
arc_left_push_006 (X: 2.643m, Score: 2.674m)
dolly_push_in_072 (X: 2.669m, Score: 2.670m)
orbit_right_039 (X: 2.475m, Score: 2.669m)
tracking_zigzag_053 (X: 2.669m, Score: 2.669m)
tracking_zigzag_023 (X: 2.644m, Score: 2.655m)
tracking_zigzag_038 (X: 2.634m, Score: 2.650m)
tracking_zigzag_094 (X: 2.593m, Score: 2.646m)
orbit_right_009 (X: 2.451m, Score: 2.645m)
orbit_right_072 (X: 2.585m, Score: 2.644m)
tracking_zigzag_083 (X: 2.531m, Score: 2.641m)
orbit_right_069 (X: 2.576m, Score: 2.637m)
dolly_push_in_085 (X: 2.636m, Score: 2.636m)
tracking_zigzag_086 (X: 2.631m, Score: 2.632m)
tracking_zigzag_065 (X: 2.630m, Score: 2.631m)
arc_left_push_020 (X: 2.618m, Score: 2.630m)
orbit_left_076 (X: 2.564m, Score: 2.628m)
dolly_push_in_007 (X: 2.628m, Score: 2.628m)
tracking_zigzag_015 (X: 2.607m, Score: 2.625m)
dolly_push_in_018 (X: 2.614m, Score: 2.615m)
orbit_right_016 (X: 2.501m, Score: 2.607m)
tracking_zigzag_063 (X: 2.591m, Score: 2.599m)
arc_left_push_034 (X: 2.442m, Score: 2.599m)
dolly_push_in_050 (X: 2.590m, Score: 2.599m)
arc_left_push_045 (X: 2.498m, Score: 2.592m)
orbit_right_035 (X: 2.477m, Score: 2.589m)
orbit_right_089 (X: 2.528m, Score: 2.587m)
orbit_left_017 (X: 2.406m, Score: 2.582m)
orbit_left_044 (X: 2.395m, Score: 2.582m)
orbit_left_009 (X: 2.473m, Score: 2.574m)
orbit_left_095 (X: 2.448m, Score: 2.572m)
orbit_left_067 (X: 2.381m, Score: 2.566m)
tracking_zigzag_045 (X: 2.550m, Score: 2.565m)
orbit_left_075 (X: 2.532m, Score: 2.564m)
orbit_right_026 (X: 2.530m, Score: 2.563m)
tracking_zigzag_054 (X: 2.496m, Score: 2.561m)
dolly_push_in_001 (X: 2.552m, Score: 2.560m)
arc_left_push_046 (X: 2.446m, Score: 2.559m)
tracking_zigzag_072 (X: 2.497m, Score: 2.557m)
tracking_zigzag_099 (X: 2.524m, Score: 2.552m)
tracking_zigzag_025 (X: 2.407m, Score: 2.542m)
orbit_left_015 (X: 2.413m, Score: 2.542m)
orbit_left_082 (X: 2.477m, Score: 2.540m)
tracking_zigzag_048 (X: 2.540m, Score: 2.540m)
orbit_left_006 (X: 2.466m, Score: 2.539m)
orbit_right_071 (X: 2.476m, Score: 2.538m)
tracking_zigzag_077 (X: 2.422m, Score: 2.537m)
orbit_right_098 (X: 2.413m, Score: 2.535m)
orbit_right_037 (X: 2.500m, Score: 2.528m)
orbit_right_042 (X: 2.463m, Score: 2.528m)
arc_left_push_001 (X: 2.320m, Score: 2.527m)
orbit_left_036 (X: 2.486m, Score: 2.527m)
tracking_zigzag_046 (X: 2.522m, Score: 2.524m)
tracking_zigzag_010 (X: 2.496m, Score: 2.515m)
arc_left_push_035 (X: 2.360m, Score: 2.513m)
orbit_right_054 (X: 2.429m, Score: 2.502m)
orbit_left_038 (X: 2.421m, Score: 2.495m)
tracking_zigzag_034 (X: 2.476m, Score: 2.491m)
orbit_right_036 (X: 2.473m, Score: 2.487m)
tracking_zigzag_066 (X: 2.430m, Score: 2.483m)
tracking_zigzag_098 (X: 2.446m, Score: 2.477m)
orbit_right_014 (X: 2.408m, Score: 2.472m)
orbit_left_016 (X: 2.429m, Score: 2.470m)
orbit_left_086 (X: 2.384m, Score: 2.467m)
tracking_zigzag_084 (X: 2.428m, Score: 2.455m)
tracking_zigzag_073 (X: 2.423m, Score: 2.426m)
tracking_zigzag_020 (X: 2.414m, Score: 2.422m)
orbit_left_093 (X: 2.374m, Score: 2.420m)
orbit_left_014 (X: 2.355m, Score: 2.417m)
arc_left_push_063 (X: 2.193m, Score: 2.411m)
tracking_zigzag_032 (X: 2.406m, Score: 2.408m)
orbit_left_035 (X: 2.338m, Score: 2.405m)
orbit_left_008 (X: 2.249m, Score: 2.391m)
orbit_right_003 (X: 2.297m, Score: 2.349m)
orbit_left_046 (X: 2.247m, Score: 2.344m)
orbit_right_017 (X: 2.277m, Score: 2.338m)
