case,duration_s,command_feasible_ratio,attitude_reconstruction_error_max_deg,base_yaw_rate_max_rad_s,yaw_command_min_deg,yaw_command_max_deg,roll_command_min_deg,roll_command_max_deg,pitch_command_min_deg,pitch_command_max_deg,yaw_rate_p95_deg_s,roll_rate_p95_deg_s,pitch_rate_p95_deg_s,yaw_rate_max_deg_s,roll_rate_max_deg_s,pitch_rate_max_deg_s,command_envelope_feasible,attitude_reconstruction_exact,base_yaw_rate_bounded,hard_command_rate_bounded,filming_command_rate_p95_bounded,passed
51,18.155214791666666,1.0,0.0,0.25000000000000444,-160.3991152233129,-2.5141725268533923,-1.894013256473479,-0.8102419906745405,8.563083049111459,9.962679966458854,14.40355974531273,0.3668549479302878,0.2609884980492787,14.406620514274065,0.3732121334106601,0.27005675931618733,True,True,True,True,True,True
57,11.484063166666667,1.0,0.0,0.2500000000000011,-23.11324525077744,2.2757737285573647,-1.3117657385411978,-0.1798407906324146,6.223545426529342,7.267724101502579,15.128803039680472,0.7342664445485905,0.3677584356679188,15.131696710845326,0.928541226556353,0.4500750706595164,True,True,True,True,True,True
60,8.918185333333334,1.0,0.0,0.2500000000000011,-34.08772087206006,20.79216243415695,-3.22181851810184,0.8997694114487262,4.515826909933106,5.394519793668901,15.382819769143689,1.2095402722819686,0.5631863086186449,15.387391817423286,1.223827124184494,0.676062783435315,True,True,True,True,True,True
61,8.925777833333333,1.0,0.0,0.25000000000000444,-108.02408887659388,-0.49594461113965527,-0.7904773016884786,5.84536762068328,5.899800069718229,17.86587948388053,14.193934928575832,2.1335065331974237,1.9252054245417798,14.21767642433668,2.1718220300113087,1.928951491123552,True,True,True,True,True,True
62,5.98237425,1.0,0.0,0.2500000000000022,-73.88290938867918,-0.43457907718253197,-2.354530018712913,-0.2767408003108813,7.143776057146068,7.5585610562261465,14.637543315917442,0.5048395757311508,0.33506623449490974,14.638199565326596,0.591254451277528,0.3892847911553531,True,True,True,True,True,True
63,8.092826958333333,1.0,0.0,0.25,-41.46834208064298,26.15460262051861,-1.5076352122232184,0.09200471248102086,7.069465675027,8.73017195052531,15.327700939519014,0.5584893762536117,0.5037715499897185,15.328520626101064,0.5724361382960578,0.5121957261173684,True,True,True,True,True,True
66,8.115316208333333,1.0,0.0,0.25000000000000056,-2.848997136222223,12.086683366946819,-3.1471508534303605,-2.320460728299398,7.8964921973511695,8.185663134974352,14.007130923495383,0.9866897339695754,0.3674708643536658,14.3373029507252,1.0985113540207496,0.5005313231198637,True,True,True,True,True,True
67,11.455831458333334,1.0,0.0,0.25000000000000056,-2.9342020260878496,12.724985710284086,-3.1486382779603437,-2.285697364850835,7.8962010877403035,8.14769412320816,13.958839826540123,0.7761257669846656,0.15674259542516464,14.337333538260182,0.8794539530886284,0.40679943335552965,True,True,True,True,True,True
70,17.703737833333335,1.0,0.0,0.25000000000000056,-82.01212784302847,18.591511963618686,-11.094705184666212,2.5394532619612287,-1.4971416312584007,7.131255810873252,16.315929459680994,2.5738217545580566,2.422351601019295,16.47762767577401,2.95139104917733,2.615613722783448,True,True,True,True,True,True
71,7.6186365,1.0,0.0,0.25000000000000056,-2.9593289961421987,9.174366830668367,-2.7438771955638668,-2.2329087295312813,5.3885208799329,6.953309076697355,14.75277739164153,0.6186675222856836,0.2899796331165745,14.768911538078436,0.647072402394878,0.36727600197605786,True,True,True,True,True,True
73,7.918541875,1.0,0.0,0.2500000000000001,-2.5235900979997217,56.52465383795064,-0.5305781466878059,21.398662135998414,-21.960776407874114,-2.221128668911634,20.612727878032562,7.158670677709252,9.336837127558857,20.971281545852968,7.3826162714490255,9.754467737759283,True,True,True,True,True,True
74,32.96528270833333,1.0,0.0,0.2500000000000022,-33.89083709005771,20.713815029633356,-19.77802182437488,28.1780354531052,-33.79668606192901,-15.771152989423273,12.816807616822585,10.057774678144163,4.050411699805856,13.338450452842656,10.265649350693439,7.229261504471965,True,True,True,True,True,True
75,32.799972958333335,1.0,0.0,0.25,-32.76154301636644,131.1160675435571,-14.362285985194317,41.13771858430873,-33.54058796061885,41.21212395271577,18.254990418364432,9.077582732169736,11.897433796100579,18.72140192676132,9.790073513453294,12.535668043595402,True,True,True,True,True,True
76,32.97840420833334,1.0,0.0,0.2500000000000022,-33.89083709005771,20.71381502962178,-19.77802182437488,28.178035453098097,-33.79715605772528,-15.771152989423273,12.816810382908326,10.057583130722117,4.050026741742237,13.3401051984899,10.265571108961414,7.2289998972246385,True,True,True,True,True,True
78,7.91202225,1.0,0.0,0.2500000000000022,-72.7558352746469,-1.4545522487408395,-4.01645929514864,-0.3327644077417595,6.852755883508515,8.348810887625,14.784062238384509,0.9148347745030121,0.5732296221485538,14.791517042285461,1.0203799911618363,0.6195422126950916,True,True,True,True,True,True
79,17.436073833333335,1.0,0.0,0.25000000000000056,-50.336061558829776,17.188556156484086,-5.307793565918602,1.5432823461685627,1.8468377034903873,3.32541460805587,15.23235358811874,1.7381049811938465,0.7489411269687911,15.26327910903468,1.8151458421567304,1.4718057647598277,True,True,True,True,True,True
