joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel
0.00019370773,1.9526055e-05,6.1490277e-06,2.4504948,0.97772014,-1.3675075,0.07339652,-0.034954846,-0.20495829,0.0010030947,-0.007878881,-0.0012759436,-0.18087414,-0.23033193,-0.16514505,0.5234669,-0.22384186,-0.16934983
-0.00015612996,0.00015276806,5.740053e-05,2.4642215,0.94410807,-1.3730134,0.08243267,0.007860986,-0.2146481,0.00036952525,0.0065853912,0.0002659287,-0.0771569,0.28964868,0.29495996,0.48093486,0.27282754,0.20088646
2.3774905e-05,0.00011640998,-2.9074465e-05,2.460231,0.9778645,-1.3159122,0.108349875,-0.039775778,-0.24894513,4.9462396e-05,-0.003002823,-0.00026487862,-0.022020876,0.077492416,-0.16054401,-0.49517035,-0.12095429,-0.34262985
7.0390524e-05,5.3621698e-06,3.3048702e-05,2.483203,0.96446514,-1.312067,0.08189015,-0.05079181,-0.23249215,0.00039878648,-0.004156607,0.00017193945,-0.20427184,-0.07302309,-0.10028125,0.11750522,-0.6540364,-0.19477108
5.9604903e-05,6.092771e-05,-2.691122e-05,2.461282,0.9813294,-1.3196769,0.121961795,-0.03729884,-0.21541151,0.00066655636,0.00040348188,0.0001837633,-0.078612246,-0.054753494,0.1953719,0.17164296,-0.06322153,0.05567714
7.0743685e-05,0.00020665371,4.7881127e-05,2.4780424,1.0072577,-1.2856009,0.12714958,-0.086396724,-0.18367012,-4.788385e-05,-0.0046246047,0.00051922986,-0.08083816,0.10355061,-0.3008117,0.5728298,-0.11377878,0.052507542
9.768701e-05,4.5729554e-05,1.3889938e-05,2.513065,0.976233,-1.2415527,0.18342668,-0.14282869,-0.15579098,-0.0003854884,0.00081158814,0.0007143832,-0.226976,-0.15690634,0.1268667,0.19421208,0.021470472,-0.054438412
0.00012516846,2.8386297e-05,-4.8830792e-05,2.5197768,0.94620514,-1.2112086,0.19486421,-0.26594457,-0.14606372,-6.788502e-05,-0.0024670297,-1.1634838e-05,-0.027187798,-0.17192501,-0.02568087,0.404114,-0.11487582,0.10576194
-6.9173315e-05,0.00023409427,-9.424059e-05,2.520869,0.93674695,-1.164545,0.24237213,-0.2675684,-0.15302837,-2.321793e-05,0.0023680471,4.9092778e-05,0.274304,-0.011886433,0.50041187,1.0998652,0.85770273,-0.42156664
-2.8967406e-06,0.00026418362,-1.9884874e-05,2.540107,0.99391913,-1.0834222,0.40895605,-0.3934695,-0.090984136,-7.108008e-05,0.0015417971,0.00097518676,0.18735123,0.3250317,-0.04395546,0.89351165,-0.41874516,0.11142926
