ee_pos_error_x,ee_pos_error_y,ee_pos_error_z,ee_pos_error_norm,ee_ori_error_rad,ee_ori_error_deg,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel
-1.8038175,-0.15027376,-0.017290294,2.0666695,2.6619782,152.52011,0.00014423161,6.83104e-05,9.6064905e-05,2.4620287,0.91797674,-1.3972386,-0.065701775,-0.0039474573,-0.21405716,0.00080475677,-0.00763957,0.00095101085,-0.38408905,-0.073756814,-0.049390182,-0.003343761,-0.015618026,0.10761894
-1.936712,-0.24518758,-0.01516698,2.2018366,2.5706973,147.29008,7.99305e-05,-5.651113e-05,-5.001091e-05,2.4631124,0.9735252,-1.4179796,-0.057414625,-0.045676757,-0.2651372,-0.00022488929,-0.00048031402,-0.00037828033,0.11065473,0.043468952,-0.1791453,0.14926669,0.4961617,-0.09900282
-2.046783,-0.3044989,-0.015495208,2.372486,2.558968,146.61804,5.4333632e-05,5.310191e-05,-7.870829e-05,2.4654584,0.95528054,-1.4017074,0.019123008,-0.024596384,-0.21996194,-0.00073804863,-0.0029883836,0.00027046265,-0.04529926,-0.1354405,0.0774674,-0.09598547,0.13974744,0.06603488
-2.1813805,-0.41563174,-0.008553912,2.5903363,2.5064414,143.6085,-2.353073e-05,1.0381264e-06,2.073421e-05,2.4806123,0.97515994,-1.3577724,0.094742894,0.014818421,-0.24353765,-0.0004671728,0.0005147404,-0.000103318685,-0.22146185,0.14807777,-0.054857574,-0.21106239,0.13979879,-0.052812003
-2.3727374,-0.5616151,0.006843781,2.8202243,2.3786566,136.28699,-0.000116369454,0.00026876392,-7.558016e-05,2.476227,0.99934536,-1.3183203,0.117931336,-0.038751006,-0.23793045,-0.00018450667,0.0027009519,0.00095667416,0.06038157,0.056213282,0.5876958,0.16304551,0.030647635,-0.30397576
-2.6659393,-0.7664364,0.013552738,3.1065361,2.3988798,137.44568,0.00015905243,-3.6090634e-05,-3.79986e-05,2.47084,1.0188247,-1.3288083,0.13875163,-0.07606822,-0.19524418,-0.0007523558,0.00026763137,0.00011815989,-0.0502311,-0.2908721,0.118365616,0.39265868,0.061594933,0.21172129
-2.9738107,-0.949487,0.02383376,3.3776312,2.4203506,138.67586,1.2495628e-05,0.00015821279,-2.4713176e-05,2.497108,0.9797834,-1.2882065,0.12623453,-0.061925907,-0.19654642,-0.00016652775,3.1580916e-05,0.00044400606,0.024232823,-0.14794286,0.37199444,0.22941005,-0.096318826,0.086773604
-3.3115687,-1.1157477,0.03877906,3.7007575,2.4011621,137.57645,-5.2571027e-05,0.00018445365,-1.6460293e-05,2.5095978,0.9843786,-1.2287552,0.15904838,-0.13169052,-0.14779618,-0.0008568992,0.0033175047,0.0013417044,-0.012316588,0.13752222,0.27549112,0.3491165,-0.12838936,0.0027419403
-3.6041524,-1.2998831,0.047978185,4.0453506,2.2997656,131.76686,-5.9026886e-05,0.000119954726,-2.407705e-05,2.5148072,0.9815213,-1.213551,0.23853323,-0.24295303,-0.10941691,-0.00027029336,0.003846095,0.0009033849,-0.014142331,0.093502566,0.2974858,-0.06543216,-0.107802294,0.37569073
-3.8851676,-1.53705,0.046022575,4.41189,2.1156135,121.21571,-0.00010626299,0.00024389722,2.4751078e-05,2.5263913,0.97602004,-1.1207194,0.42578486,-0.3413816,-0.10494867,0.0009915031,0.0008807606,0.0008180757,-0.048745364,0.33778906,0.24750161,0.50534385,-0.26647153,-0.053667687
-4.17677,-1.8404641,0.06738043,4.815365,2.0400975,116.88896,-4.962027e-05,0.00025685944,6.185705e-05,2.535612,1.0553243,-1.127428,0.48527974,-0.36916798,-0.11150141,0.00052371057,0.0004785154,0.0007479408,-0.10398611,0.3597052,-0.1683369,-0.7666764,0.40028876,0.022056937
-4.531295,-2.1271672,0.07226047,5.279628,2.052392,117.5934,9.569811e-05,3.7182974e-05,-2.6974452e-05,2.5555978,1.0675212,-1.077938,0.48228624,-0.357284,-0.11790043,0.00030291654,-0.001044739,0.0007827549,0.028160226,-0.111326635,0.41593692,0.5483607,0.018151207,-0.1018922
-4.9638815,-2.4233003,0.068796955,5.779546,2.0047357,114.862885,3.5578778e-06,0.00024763038,2.9827224e-05,2.5385852,1.0616167,-1.0341442,0.5441819,-0.39697772,-0.117228836,0.0003573171,-7.990445e-05,0.0003052558,-0.11103199,-0.016805932,0.6052487,-0.10592519,0.6080984,-0.2735393
-5.403153,-2.7058802,0.06438614,6.2524204,2.012154,115.28793,3.416976e-05,0.00023218353,-2.0001484e-05,2.5490854,1.0316007,-0.99807054,0.5953367,-0.44122863,-0.08873676,0.0005354687,-0.0013621231,-0.0002683674,0.0051393025,0.010236008,0.10425672,-0.038780957,-0.061143063,0.29449123
-5.7962465,-2.994594,0.06848088,6.7142396,2.0019374,114.702545,0.0001067856,-4.016346e-05,0.000276504,2.5471392,1.0227604,-0.9887291,0.55033004,-0.45807594,-0.106603086,-0.00024021661,0.00015045321,-0.000112213515,-0.13343231,0.06332164,-0.11412009,-0.28795686,0.054731965,0.038770914
-6.1948466,-3.3057475,0.0645524,7.1888456,1.9971987,114.43106,0.00013364434,-0.00055141107,0.0001442889,2.5572162,1.0099049,-0.8988934,0.5881649,-0.46288747,-0.14274335,0.00016500251,0.0012585729,-0.00032597856,0.06961372,-0.1493505,0.1017417,0.42952573,0.23240218,-0.10932059
